"PassengerId","Survived"
474,0
475,0
476,0
477,0
478,1
479,0
480,1
481,0
482,1
483,0
484,0
485,0
486,1
487,0
488,1
489,1
490,0
491,0
492,0
493,0
494,0
495,1
496,1
497,0
498,1
499,0
500,1
501,0
502,0
503,1
504,0
505,0
506,1
507,1
508,0
509,0
510,0
511,1
512,0
513,0
514,0
515,0
516,0
517,1
518,1
519,0
520,0
521,0
522,1
523,1
524,0
525,0
526,1
527,1
528,0
529,0
530,0
531,0
532,0
533,1
534,0
535,0
536,0
537,1
538,1
539,1
540,1
541,0
542,0
543,1
544,1
545,0
546,0
547,0
548,1
549,0
550,0
551,1
552,0
553,1
554,1
555,0
556,0
557,0
558,0
559,0
560,1
561,1
562,1
563,1
564,1
565,0
566,1
567,0
568,1
569,0
570,1
571,0
572,1
573,0
574,1
575,0
576,0
577,0
578,1
579,0
580,0
581,0
582,0
583,0
584,0
585,1
586,1
587,1
588,1
589,0
590,0
591,1
592,1
593,1
594,1
595,0
596,1
597,0
598,0
599,0
600,0
601,1
602,0
603,0
604,0
605,1
606,0
607,0
608,0
609,0
610,0
611,0
612,0
613,0
614,0
615,1
616,0
617,0
618,0
619,0
620,0
621,0
622,1
623,0
624,1
625,0
626,0
627,1
628,0
629,0
630,1
631,0
632,0
633,1
634,1
635,1
636,1
637,0
638,0
639,0
640,0
641,0
642,1
643,1
644,0
645,0
646,0
647,0
648,0
649,1
650,1
651,0
652,1
653,1
654,0
655,0
656,1
657,0
658,1
659,0
660,1
661,0
662,0
663,0
664,0
665,0
666,1
667,0
668,1
669,0
670,1
671,1
672,0
673,1
674,1
675,1
676,1
677,1
678,0
679,0
680,1
681,0
682,1
683,0
684,0
685,0
686,0
687,1
688,1
689,0
690,1
691,0
692,1
693,0
694,1
695,0
696,1
697,0
698,1
699,1
700,0
701,1
702,0
703,0
704,0
705,1
706,0
707,0
708,1
709,0
710,0
711,0
712,1
713,1
714,1
715,1
716,0
717,0
718,0
719,1
720,1
721,0
722,1
723,1
724,1
725,0
726,1
727,0
728,0
729,0
730,0
731,0
732,1
733,0
734,0
735,0
736,1
737,1
738,0
739,0
740,0
741,0
742,1
743,0
744,0
745,0
746,1
747,1
748,0
749,1
750,0
751,0
752,0
753,0
754,0
755,1
756,1
757,1
758,1
759,0
760,0
761,0
762,0
763,0
764,0
765,1
766,0
767,0
768,0
769,0
770,1
771,0
772,0
773,0
774,0
775,0
776,0
777,0
778,1
779,1
780,0
781,1
782,0
783,0
784,0
785,0
786,0
787,1
788,1
789,1
790,0
791,0
792,0
793,0
794,0
795,0
796,0
797,0
798,1
799,0
800,1
801,0
802,0
803,0
804,1
805,0
806,0
807,1
808,0
809,0
810,0
811,0
812,0
813,1
814,0
815,0
816,0
817,1
818,0
819,1
820,0
821,1
822,0
823,1
824,1
825,0
826,0
827,0
828,1
829,0
830,1
831,0
832,0
833,0
834,0
835,1
836,1
837,0
838,1
839,1
840,0
841,1
842,1
843,0
844,0
845,1
846,0
847,0
848,1
849,1
850,0
851,0
852,0
853,0
854,0
855,0
856,1
857,1
858,0
859,1
860,0
861,0
862,0
863,0
864,0
865,1
866,1
867,0
868,0
869,1
870,0
871,1
872,0
873,0
874,1
875,0
876,1
877,0
878,1
879,0
880,0
881,0
882,1
883,1
884,1
885,1
886,0
887,0
888,0
889,0
890,0
891,1
